studentnumber,firstname,middlename,lastname,suffix,sectionid,batchid,contactnumber
18-0101,Mike,,Cruz,Jr,1,,9301252143
18-0102,Christian,Cruz,Mariano,,1,,9310263254
18-0103,Ervin,Sanchez,Delino,,1,,9682174365
18-0104,Sheena,Lucion,Sanchez,,1,,9680005214
18-0105,Marjorie,,Rivera,,1,,9677836063
18-0106,Shane,Dela Cruz,Abendan,,1,,9675666912
18-0107,John Paul,,Mendoza,,2,,9673497761
18-0108,Almar,,Pineda,,2,,9671328610
18-0109,Elizah,Cruz,Calixto,,2,,9669159459
18-0110,Freya,,Francisco,,2,,9666990308
18-0111,Marie,Marcos,Geron,,2,,9664821157
18-0112,Clark David,Santos,Genovia,III,3,,9662652006
18-0113,Daniel,,Santos,,3,,9660482855
18-0114,Harvey,Cahusay,Alvarez,,3,,9658313704
18-0115,Jayson,,Borlagdatan,,3,,9656144553
18-0116,Michaela,Pineda,Rodelas,,3,,9653975402
18-0117,Ann,Geronimo,Lucion,,3,,9651806251
18-0118,Marlene,Marcelo,Depaz,,3,,9649637100
18-0119,Lyca,Lazar,Gregorio,,3,,9647467949
